==================================================
Model Evaluation Results
==================================================

SSIM Mean: 0.939826
SSIM Std: 0.033117
FID Score: 38.93

==================================================
Individual SSIM Values:
==================================================
Sample 1: 0.955316
Sample 2: 0.944680
Sample 3: 0.971064
Sample 4: 0.961609
Sample 5: 0.900345
Sample 6: 0.952846
Sample 7: 0.935635
Sample 8: 0.887974
Sample 9: 0.972541
Sample 10: 0.937335
Sample 11: 0.920299
Sample 12: 0.914384
Sample 13: 0.958870
Sample 14: 0.897590
Sample 15: 0.965792
Sample 16: 0.951069
Sample 17: 0.960493
Sample 18: 0.920863
Sample 19: 0.952932
Sample 20: 0.955181
Sample 21: 0.964042
Sample 22: 0.951979
Sample 23: 0.976087
Sample 24: 0.959188
Sample 25: 0.902349
Sample 26: 0.941041
Sample 27: 0.938742
Sample 28: 0.929103
Sample 29: 0.949823
Sample 30: 0.947495
Sample 31: 0.977964
Sample 32: 0.893127
Sample 33: 0.900440
Sample 34: 0.942292
Sample 35: 0.938903
Sample 36: 0.979286
Sample 37: 0.919313
Sample 38: 0.881572
Sample 39: 0.918301
Sample 40: 0.923883
Sample 41: 0.947082
Sample 42: 0.947575
Sample 43: 0.922361
Sample 44: 0.910298
Sample 45: 0.951619
Sample 46: 0.979541
Sample 47: 0.936570
Sample 48: 0.931131
Sample 49: 0.976872
Sample 50: 0.957532
Sample 51: 0.979157
Sample 52: 0.957012
Sample 53: 0.936102
Sample 54: 0.950569
Sample 55: 0.975119
Sample 56: 0.966624
Sample 57: 0.959400
Sample 58: 0.954365
Sample 59: 0.939569
Sample 60: 0.917088
Sample 61: 0.918357
Sample 62: 0.958989
Sample 63: 0.976752
Sample 64: 0.919395
Sample 65: 0.917040
Sample 66: 0.960739
Sample 67: 0.928641
Sample 68: 0.947114
Sample 69: 0.975586
Sample 70: 0.955519
Sample 71: 0.917500
Sample 72: 0.945381
Sample 73: 0.931863
Sample 74: 0.954895
Sample 75: 0.933862
Sample 76: 0.933228
Sample 77: 0.916675
Sample 78: 0.945823
Sample 79: 0.975144
Sample 80: 0.970736
Sample 81: 0.930910
Sample 82: 0.948245
Sample 83: 0.924370
Sample 84: 0.950020
Sample 85: 0.952720
Sample 86: 0.908607
Sample 87: 0.935791
Sample 88: 0.948424
Sample 89: 0.901707
Sample 90: 0.937899
Sample 91: 0.942211
Sample 92: 0.885509
Sample 93: 0.924649
Sample 94: 0.946593
Sample 95: 0.952266
Sample 96: 0.883946
Sample 97: 0.933726
Sample 98: 0.958557
Sample 99: 0.905933
Sample 100: 0.933219
Sample 101: 0.931563
Sample 102: 0.958782
Sample 103: 0.942338
Sample 104: 0.940181
Sample 105: 0.939713
Sample 106: 0.947835
Sample 107: 0.937859
Sample 108: 0.935055
Sample 109: 0.954580
Sample 110: 0.911825
Sample 111: 0.893455
Sample 112: 0.944404
Sample 113: 0.895521
Sample 114: 0.950177
Sample 115: 0.958862
Sample 116: 0.920207
Sample 117: 0.935386
Sample 118: 0.946575
Sample 119: 0.907621
Sample 120: 0.925202
Sample 121: 0.934966
Sample 122: 0.943317
Sample 123: 0.938522
Sample 124: 0.919490
Sample 125: 0.964636
Sample 126: 0.943247
Sample 127: 0.960622
